Category,Synonym,Matched CUI,Canonical Name,Keyword
Glucose,serum glucose,C0151407,"serum glucose, mg%",glucose
Glucose,serum glucose,C0553708,serum glucose decreased,glucose
Glucose,serum glucose,C0583332,serum glucose level,glucose
Glucose,serum glucose,C0595931,serum glucose increased,glucose
Glucose,serum glucose,C1278150,30 minute serum glucose measurement,glucose
Glucose,serum glucose,C1278151,60 minute serum glucose measurement,glucose
Glucose,serum glucose,C1278153,90 minute serum glucose measurement,glucose
Glucose,serum glucose,C1278154,120 minute serum glucose measurement,glucose
Glucose,serum glucose,C1278155,150 minute serum glucose measurement,glucose
Glucose,serum glucose,C3534430,serum glucose,glucose
Glucose,serum glucose,C4692511,low serum glucose with inappropriately high insulin levels,glucose
Glucose,serum glucose,C4692512,elevated serum glucose,glucose
Glucose,plasma glucose,C0202042,plasma glucose measurement,glucose
Glucose,plasma glucose,C0455280,plasma glucose result,glucose
Glucose,plasma glucose,C0856426,normal plasma glucose,glucose
Glucose,plasma glucose,C1278156,30 minute plasma glucose measurement,glucose
Glucose,plasma glucose,C1278157,60 minute plasma glucose measurement,glucose
Glucose,plasma glucose,C1278158,90 minute plasma glucose measurement,glucose
Glucose,plasma glucose,C1278159,120 minute plasma glucose measurement,glucose
Glucose,plasma glucose,C1278160,150 minute plasma glucose measurement,glucose
Glucose,plasma glucose,C2584434,plasma glucose concentration,glucose
Glucose,plasma glucose,C2584700,300 minute plasma glucose measurement,glucose
Glucose,plasma glucose,C2585037,240 minute plasma glucose measurement,glucose
Glucose,plasma glucose,C2677501,fasting plasma glucose level quantitative trait locus 1,glucose
Glucose,plasma glucose,C2750485,fasting plasma glucose level quantitative trait locus 3,glucose
Glucose,plasma glucose,C2750735,fasting plasma glucose level quantitative trait locus 2,glucose
Glucose,plasma glucose,C3150710,fasting plasma glucose level quantitative trait locus 6,glucose
Glucose,plasma glucose,C3150712,"plasma glucose, 2-hour, quantitative trait locus 1",glucose
Glucose,plasma glucose,C3150713,fasting plasma glucose level quantitative trait locus 4,glucose
Glucose,plasma glucose,C3150714,fasting plasma glucose level quantitative trait locus 5,glucose
Glucose,plasma glucose,C3165686,phenx - fasting plasma glucose for diabetes screening - blood draw protocol,glucose
Glucose,plasma glucose,C3165687,phenx - fasting plasma glucose for diabetes screening - glucometer protocol,glucose
Glucose,plasma glucose,C3166017,phenx measure - fasting plasma glucose for diabetes screening - blood draw,glucose
Glucose,plasma glucose,C3171856,phenx measure - fasting plasma glucose for diabetes screening - blood draw:-:point in time:^patient:-:phenx,glucose
Glucose,plasma glucose,C3171857,phenx - fasting plasma glucose for diabetes screening - blood draw protocol:-:point in time:^patient:-:phenx,glucose
Glucose,plasma glucose,C3171858,phenx - fasting plasma glucose for diabetes screening - glucometer protocol:-:point in time:^patient:-:phenx,glucose
Glucose,plasma glucose,C3176019,exclusion criteria for fasting plasma glucose:find:pt:^patient:nom:phenx,glucose
Glucose,plasma glucose,C3176020,exclusion criteria for fasting plasma glucose,glucose
Glucose,plasma glucose,C4228506,elevated fasting plasma glucose,glucose
Glucose,glucose level,C0017746,decreased glucose level,glucose
Glucose,glucose level,C0017747,increased glucose level,glucose
Glucose,glucose level,C0428548,glucose level - finding,glucose
Glucose,glucose level,C0428550,csf: glucose level - finding,glucose
Glucose,glucose level,C0428554,finding of blood glucose level,blood sugar
Glucose,glucose level,C0495706,elevated blood glucose level,blood glucose
Glucose,glucose level,C0522082,normal glucose level,glucose
Glucose,glucose level,C0522083,abnormal glucose level,glucose
Glucose,glucose level,C0559198,bm stix glucose level measurement,glucose
Glucose,glucose level,C0583332,serum glucose level,glucose
Glucose,glucose level,C0744431,random glucose level abnormal,glucose
Glucose,glucose level,C1261429,random blood glucose level result,blood sugar
Glucose,glucose level,C1318336,capillary blood glucose level result,blood glucose
Glucose,glucose level,C1318337,bm stix glucose level result,glucose
Glucose,glucose level,C1318371,serum random glucose level result,glucose
Glucose,glucose level,C1318372,serum fasting glucose level result,glucose
Glucose,glucose level,C1318373,serum 2-hr post-prandial glucose level result,glucose
Glucose,glucose level,C1318374,plasma random glucose level observed,glucose
Glucose,glucose level,C1318375,plasma fasting glucose level observed,glucose
Glucose,glucose level,C1318376,plasma 2-hr post-prandial glucose level observed,glucose
Glucose,glucose level,C1318395,fluid sample glucose level result,glucose
Glucose,glucose level,C1319276,fecal glucose level,glucose
Glucose,glucose level,C1828208,at risk for unstable blood glucose level,blood glucose
Glucose,glucose level,C2677501,fasting plasma glucose level quantitative trait locus 1,glucose
Glucose,glucose level,C2703060,elevated random blood glucose level,blood glucose
Glucose,glucose level,C2750485,fasting plasma glucose level quantitative trait locus 3,glucose
Glucose,glucose level,C2750735,fasting plasma glucose level quantitative trait locus 2,glucose
Glucose,glucose level,C3150710,fasting plasma glucose level quantitative trait locus 6,glucose
Glucose,glucose level,C3150713,fasting plasma glucose level quantitative trait locus 4,glucose
Glucose,glucose level,C3150714,fasting plasma glucose level quantitative trait locus 5,glucose
Glucose,glucose level,C4315209,elevated fasting glucose levels,glucose
Glucose,glucose measurement,C0004076,"glucose measurement, urine",glucose
Glucose,glucose measurement,C0202040,"glucose measurement, csf",glucose
Glucose,glucose measurement,C0202041,"glucose measurement, serum",glucose
Glucose,glucose measurement,C0202042,plasma glucose measurement,glucose
Glucose,glucose measurement,C0202045,"glucose measurement, fasting",glucose
