Category,Synonym
Glucose,glucose
Glucose,serum glucose
Glucose,plasma glucose
Glucose,glucose level
Glucose,glucose measurement
Glucose,blood sugar
Glucose,blood glucose
Glucose,FINGERSTICK
Glucose,FBG
Glucose,fasting blood glucose
Glucose,BG
Glucose,glycemia
Glucose,glycemic
Glucose,glucose measurement
Hypoglycemic,Hypoglycemic
Hypoglycemic,low blood sugar
Hypoglycemic,low glucose
Hypoglycemic,hypoglycemia
Hypoglycemic,coma
Hyperglycemic,Hyperglycemic
Hyperglycemic,high blood sugar
Hyperglycemic,high glucose
Hyperglycemic,hyper
Hyperglycemic,hyperglycemia
Hyperglycemic,DKA
Hyperglycemic,ketoacidosis
Hyperglycemic,diabetes
