Category,Synonym
Bolus,bolus
Bolus,bolus insulin
Bolus,bolus push
Bolus,SSI
Bolus,sliding scale
Insulin Infusion,Insulin Infusion
Insulin Infusion,continuous insulin infusion
Insulin Infusion,IV insulin
Insulin Infusion,intravenous insulin
Short-acting insulin,Short-acting
Short-acting insulin,short-acting insulin
Short-acting insulin,rapid-acting insulin
Short-acting insulin,regular insulin
Short-acting insulin,Humalog
Short-acting insulin,Novolog
Short-acting insulin,Humulin
Intermediate-acting Insulin,Intermediate-acting insulin
Intermediate-acting Insulin,intermediate-acting
Intermediate-acting Insulin,NPH insulin
Intermediate-acting Insulin,NPH
Basal,Long-acting insulin
Basal,long-acting
Basal,detemir
Basal,glargine
Basal,Levemir
Basal,Lantus
Basal,Basaglar
